E_fitted,s_fitted,N_fitted,n0_fitted,E_initial,s_initial,N_initial,n0_initial,temp_K,int_peak1,int_peak2,int_peak3,int_peak4,int_peak5,int_peak6,int_peak7,int_peak8,int_peak9,int_sum,temp_data_K,int_data_cps
,,,,,,,,527.1324039,4.2141283847392055,83.99168304681358,1150.2087591601571,2406.5837907173327,55.525096363549686,1.5148251848302972,0.032182832998634905,0.4972897700941788,,3702.567755460516,527.1324039,3560.311284
,,,,,,,,528.1162093,4.047581354341218,80.67800466571954,1105.8650482306534,2430.660702787072,58.245794839975105,1.5847202425461278,0.033823806861662115,0.5269449771678972,,3681.642620904337,528.1162093,3528.0766
,,,,,,,,529.3409466,3.8501430719036094,76.74819381101355,1052.958948711316,2457.1547701276168,61.801385107175264,1.6758593867200517,0.03597475639210486,0.56617531593557,,3654.791450288073,529.3409466,3493.171588
,,,,,,,,530.3649072999999,3.693075046853714,73.6207723372682,1010.6156345233816,2476.2485482005286,64.92362363791165,1.755716869905565,0.03786944189779789,0.6010541924000183,,3631.496294250147,530.3649072999999,3467.040513
,,,,,,,,531.3888678999999,3.54292831412533,70.63024395714038,969.9329908167621,2492.484474605572,68.18775668367587,1.839046349211093,0.03985602896365577,0.6379347497331957,,3607.295231505184,531.3888678999999,3400.282292
,,,,,,,,532.6236441,3.370611282979307,67.19706790109231,923.003846614799,2508.184427179364,72.32050941993596,1.944342977508028,0.04237963597902996,0.6852219706156748,,3576.7484069822735,532.6236441,3348.21088
,,,,,,,,533.6375659,3.23590433029857,64.51244672561113,886.145548954941,2517.8588956377976,75.8813870627463,2.0349022074755347,0.0445614294712967,0.7264810170919324,,3550.4401273654335,533.6375659,3265.621424
,,,,,,,,534.6514878,3.107015045058834,61.943154686894665,850.7432924564945,2524.6054221830436,79.59926006607999,2.1293072331847602,0.04684662445803251,0.7700535740608462,,3522.944351869275,534.6514878,3274.967575
,,,,,,,,535.8159920999999,2.965813655816823,59.127769105532046,811.813228647686,2528.728632380423,84.07058533239703,2.242667890341351,0.04960456881938826,0.8231072064242121,,3489.8214087874394,535.8159920999999,3239.681086
,,,,,,,,536.8098362,2.850803235882515,56.834108276741226,779.9965653493172,2529.186698801303,88.06338983862909,2.343753657764366,0.052076159478018545,0.8710679168187688,,3460.1984632359345,536.8098362,3189.898528
,,,,,,,,537.8137193,2.739525394121915,54.61448471649033,749.1252414550584,2526.806046282545,92.26804653495962,2.450075863183219,0.054687778010523415,0.9221546888994909,,3428.9802627132685,537.8137193,3169.871061
,,,,,,,,538.9380682,2.6204595855179242,52.23910000174833,716.0036396903531,2520.785428309547,97.18947777351616,2.5743805766457495,0.057756085903078506,0.982689366740185,,3392.4529313899716,538.9380682,3167.009995
,,,,,,,,539.9419513,2.5188863019580583,50.21237119416439,687.6793971191552,2512.463173520087,101.78002795483104,2.6902109209302094,0.06062917993600862,1.0398556741067122,,3358.444551865168,539.9419513,3124.666209
,,,,,,,,540.9759508,2.4187153454916706,48.21334889477847,659.6886620300102,2501.0463688757995,106.70907615179834,2.814478714048732,0.06372595091018042,1.101973822387442,,3322.056349785225,540.9759508,3056.382086
,,,,,,,,542.1605327,2.3092396052725226,46.02834769435564,629.0378872562759,2484.5135024640513,112.61554581133525,2.9632765265652,0.06745283063249426,1.1773917210522866,,3278.7126439095405,542.1605327,2936.026551
,,,,,,,,543.1242603999999,2.2241398223439024,44.32966533686409,605.1725393774855,2468.4278903083487,117.63260969284782,3.08959574665297,0.07063216318385318,1.242275812534874,,3242.1893482602613,543.1242603999999,2898.451209
,,,,,,,,544.0879881,2.1424334365127007,42.69857075492645,582.2298511972996,2450.062374099303,122.8462199981598,3.220814571033833,0.07394928112126285,1.3104864424349196,,3204.5846997807917,544.0879881,2887.579156
,,,,,,,,545.3328031,2.0416834040008123,40.68712865606705,553.905535571347,2423.1065977070707,129.88138587831173,3.397833872242955,0.0784466590872407,1.4037716492052594,,3154.502383397333,545.3328031,2849.050126
,,,,,,,,546.3567638,1.9626614870683718,39.10935607119243,531.667212975349,2398.3318543087044,135.93143450944734,3.5500541654418196,0.0823338109612675,1.4851144590713508,,3112.1200217872356,546.3567638,2825.398642
,,,,,,,,547.3004138,1.8927716789278732,37.71383714086387,511.9853534441265,2373.5319759941813,141.7242928480867,3.695818508849857,0.08607261888350921,1.5639526822088832,,3072.1940749161286,547.3004138,2845.426108
,,,,,,,,548.6556559,1.7970830872487409,35.80307926976512,485.0226125623365,2334.815865757456,150.42095952205182,3.91472381868122,0.09171662086605469,1.6840309444856953,,3013.5500715828907,548.6556559,2852.864881
,,,,,,,,549.7097329999999,1.7262913680573557,34.389411990704595,465.06745286376025,2302.351249474056,157.5028396137397,4.093086957866432,0.09634017888814106,1.7833137641669166,,2967.0099862112393,549.7097329999999,2780.766003
,,,,,,,,550.6935384,1.6629456493781671,33.124402763963964,447.20856154037267,2270.3375140992653,164.3718747877533,4.266211017515145,0.10084841866957309,1.88087958914454,,2922.953237866063,550.6935384,2743.762875
,,,,,,,,551.7576544,1.5972593876758596,31.812629715528168,428.6899426346284,2233.993547148009,172.0918855958367,4.460959365931373,0.10594301451879597,1.9920019038225323,,2874.744168765951,551.7576544,2719.539178
,,,,,,,,552.7916539,1.5361246371296815,30.591740248749748,411.4572519379358,2197.1146265778107,179.89071406836507,4.6579207872320385,0.11111964316628709,2.1058188155382496,,2827.465316715927,552.7916539,2646.677348
,,,,,,,,553.8055758,1.478638549712432,29.443715514591894,395.2578702057637,2159.596594274865,187.83079605780986,4.858717011745948,0.11642115124132969,2.2232901929813105,,2780.8060429587117,553.8055758,2612.535286
,,,,,,,,555.0303131000001,1.4122979358485768,28.11887285617383,376.57228180253577,2112.6840055822,197.81956164215475,5.1117572732399434,0.12313536866063164,2.3733301738529233,,2724.215242634667,555.0303131000001,2567.521172
,,,,,,,,556.0241572,1.3608405201623652,27.09126978785476,362.08772355128093,2073.4878353101185,206.25406354225169,5.325844783962255,0.12884397267985284,2.501965746548455,,2678.238387214859,556.0241572,2525.368124
,,,,,,,,557.0079625999999,1.3119040235400359,26.114031299938798,348.32206166960214,2033.8249406706138,214.90137881004867,5.545773460425163,0.13473405883788112,2.635678361644659,,2632.790502354651,557.0079625999999,2508.5832
,,,,,,,,558.1624280999999,1.256904650145767,25.015754638125447,332.864083164093,1986.3480267784673,225.4364838240637,5.8143679773195505,0.1419616278949804,2.8010708350219686,,2579.678653495132,558.1624280999999,2510.29984
,,,,,,,,559.1462334,1.2120116624334833,24.11932584754868,320.258785269293,1945.226702642435,234.7527598346224,6.052532798127151,0.14840066505259278,2.9495943827838422,,2534.720113102296,559.1462334,2505.722133
,,,,,,,,560.2203883,1.1649781693098566,23.180196090229853,307.066174023791,1899.7716133765152,245.28900592483174,6.32266792086454,0.15573729788394497,3.1201186788272435,,2486.0704914822536,560.2203883,2485.122454
,,,,,,,,561.3648149,1.1170420690903042,22.223095125363713,293.63692391920125,1850.855796460758,256.94279426821845,6.622488035709591,0.16392006909796514,3.311874940431726,,2434.873934887871,561.3648149,2449.645228
,,,,,,,,562.3887755999999,1.0759668763289147,21.40302858104954,282.1448005151263,1806.7928118309355,267.7527943772533,6.901631010062942,0.17157493814594516,3.4926954617562997,,2389.735303590659,562.3887755999999,2395.094224
,,,,,,,,563.4428528,1.0353934590460039,20.593030306511118,270.80834875297256,1761.2626022916722,279.26652214292045,7.200101932571543,0.17979733851423668,3.688406911505637,,2344.034203135714,563.4428528,2374.87602
,,,,,,,,564.7077454,0.9888886498102177,19.66468924577395,257.83546684972157,1706.555541558048,293.61035952867275,7.573702221291758,0.1901421039459327,3.9367314953242474,,2290.3555216525883,564.7077454,2306.019684
,,,,,,,,565.6815119,0.9546357332709886,18.98097760916351,248.29607981541997,1664.496267823496,305.0523026515866,7.873198630736453,0.1984757912768914,4.138411722405365,,2249.9903497773557,565.6815119,2278.553445
,,,,,,,,566.6552784,0.921669892146456,18.323005024750287,239.12895775881734,1622.5727757593088,316.8478455592936,8.183393427660087,0.2071441680837913,4.349676578800803,,2210.534468168861,566.6552784,2292.286564
,,,,,,,,567.9000934000001,0.8813198129280433,17.517719800108797,227.9285296535057,1569.2938719927372,332.4498784684991,8.59604810559446,0.21873219520617496,4.634373285602639,,2161.520473314182,567.9000934000001,2324.711986
,,,,,,,,568.9039763999999,0.8501791475121973,16.8962898758634,219.3008859816679,1526.6725476697038,345.466156307512,8.942464033935059,0.2285082078566668,4.876497910221448,,2123.233529134273,568.9039763999999,2360.570687
,,,,,,,,569.8677041,0.821408020785912,16.322195226639707,211.343484143098,1486.114833613023,358.3311998892142,9.28686499527712,0.23826943384349591,5.1199652773779425,,2087.578220599259,569.8677041,2365.720607
,,,,,,,,571.0924414,0.7863640523742811,15.623003504174813,201.67037849567168,1435.1674186191597,375.2087818509788,9.741846845657177,0.25122705490865466,5.44569612162415,,2043.8947165445493,571.0924414,2285.610742
,,,,,,,,572.0662079,0.7596624480640423,15.0903134083668,194.31519536743247,1395.1980397490845,389.05399284569586,10.117878727547058,0.26198801004980266,5.71832514349132,,2010.515395699732,572.0662079,2203.402762
,,,,,,,,573.0801297,0.7329051608214969,14.556565060262907,186.95880154503976,1354.1412731934638,403.8747150661818,10.523317409498395,0.27364133816525227,6.015648477985596,,1977.0768672514191,573.0801297,2137.788968
,,,,,,,,574.2647116999999,0.7029370623003413,13.958835467110084,178.73758204782845,1306.9604288285495,421.71622903806826,11.015555898709984,0.28785819746340235,6.381205704049198,,1939.7606322440795,574.2647116999999,2158.388647
,,,,,,,,575.2786335999999,0.6783450235802231,13.46839130824597,172.0062726894551,1267.2974477798894,437.4398800575872,11.453292538482758,0.3005622375317392,6.710394833555641,,1909.3545864683283,575.2786335999999,2166.018158
,,,,,,,,576.2423613,0.6558369700027269,13.0195567892234,165.85805777713188,1230.2491898774292,452.77307531701774,11.88385084556512,0.31311254156107526,7.0378596223375665,,1881.7905397402685,576.2423613,2108.224613
,,,,,,,,577.3566714,0.6308211366221074,12.520772242628235,159.03987880509086,1188.2393283761435,470.9736447579572,12.399849112274786,0.3282225568218907,7.434985110638058,,1851.5675020981764,577.3566714,2090.486
,,,,,,,,578.3505156,0.6093852019821984,12.093417912846967,153.2107482927598,1151.5472876402623,487.6325641906099,12.87701496197397,0.3422606736116568,7.806650771859737,,1826.1193296459066,578.3505156,2074.082551
,,,,,,,,579.3945539,0.5877182722188485,11.66150978199062,147.3320233085356,1113.8147204597099,505.5636681747429,13.396044010684069,0.35759948979571793,8.215631286241377,,1800.9289147839193,579.3945539,2089.723049
,,,,,,,,580.5690970999999,0.5643414620893322,11.195578563114871,141.00512295030634,1072.3856071047894,526.2602090461061,14.00241322795356,0.3756079644092976,8.699487503106225,,1774.4883678218753,580.5690970999999,2037.842374
,,,,,,,,581.5629412999999,0.5453516580180457,10.817136270823129,135.87826381767456,1038.1900520259635,544.2018585347895,14.534668676226277,0.39149165989259177,9.12944468402874,,1753.6882673274165,581.5629412999999,2022.964828
,,,,,,,,582.5467466,0.5272376393217721,10.45619149798105,130.99902575304185,1005.1271344018453,562.3449095220604,15.079401441334483,0.4078195053544472,9.574429414473622,,1734.5161491754127,582.5467466,1997.97818
,,,,,,,,583.5606685,0.5092530464879325,10.097870779633714,126.1659772202737,971.8792798628638,581.435744034114,15.659946622976577,0.42529863399932005,10.0540513711313,,1716.2274215714804,583.5606685,1968.223087
,,,,,,,,584.5444738,0.4924402228857023,9.762938903475126,121.65851838220948,940.4262978084078,600.3333472310007,16.242360391685068,0.4429126326701643,10.540670216696938,,1699.899485789031,584.5444738,1949.912261
,,,,,,,,585.5282792,0.4762307722593671,9.440068150477563,117.32306884023045,909.7706121123292,619.5911841921146,16.84414691485431,0.46119311378585215,11.04908297983773,,1684.9555870758888,585.5282792,1969.176776
,,,,,,,,586.5522398999999,0.4599754360000179,9.116326125154593,112.9859164231874,878.7103317747562,640.0078629606625,17.491668724197897,0.480952059605528,11.602356992778185,,1670.8553904963424,586.5522398999999,1901.846342
,,,,,,,,587.5260063999999,0.44507686454352074,8.819644943330166,109.02048517245856,849.9715599926791,659.7660049372494,18.1280595765519,0.5004591614868312,12.1522654480936,,1658.803556096393,587.5260063999999,1912.909133
,,,,,,,,588.6503554,0.4285258364429025,8.490104269038849,104.62663768629925,817.7522484730226,682.9795880539828,18.888603408565697,0.5238831377700963,12.81726204795675,,1646.5068529130788,588.6503554,1907.377737
,,,,,,,,589.6642772,0.4141749044380273,8.20441045240141,100.82701523733512,789.576059269125,704.2655558431023,19.598810455649517,0.5458634107849607,13.445747269671052,,1636.8776368425076,589.6642772,1898.985275
,,,,,,,,590.6681602,0.40048105438019926,7.93183550303788,97.21056143864932,762.4916303909127,725.6538510478997,20.32542194259769,0.5684552843878709,14.096077738431646,,1628.678314400297,590.6681602,1896.505684
,,,,,,,,591.8125869,0.3854696633684292,7.633079635268869,93.25693442555311,732.589878185571,750.394831309243,21.183049824613537,0.5952525943658623,14.87299308336653,,1620.9114887213505,591.8125869,1884.87068
,,,,,,,,592.8465864,0.3724336178910938,7.373676714705976,89.8331173477023,706.4535553013355,773.0549523511226,21.98555638427967,0.6204537221508015,15.608911983076746,,1615.3026574222645,592.8465864,1862.172885
,,,,,,,,593.8303917999999,0.36047590336443414,7.135765433337713,86.70066358131017,682.3494142769888,794.8643326099782,22.774171769381525,0.6453345814938259,16.340325556937216,,1611.170483712792,593.8303917999999,1869.230182
,,,,,,,,594.9346631,0.3475508203081102,6.878645689696224,83.32393487877778,656.1652108018731,819.6079712136413,23.689302251791062,0.6743477423185246,17.19908929784228,,1607.8860526962485,594.9346631,1878.576333
